firm_name,topic_id,keywords
Equinor,4,"equinor, performance, gas, energy, financial, production, usd, oil, risk, statements"
Equinor,5,"equinor, energy, emissions, carbon, oil, gas, climate, low, rights, value"
Equinor,6,"statoil, oil, gas, energy, emissions, carbon, business, climate, safety, local"
ExxonMobil,0,"millions, engagement, incident, win, longer, line, outcome, deployment, continuous, flexibility"
ExxonMobil,1,"exxonmobil, business, approach, environmental, management, human, including, rights, communities, standards"
ExxonMobil,2,"millions, engagement, incident, win, longer, line, outcome, deployment, continuous, flexibility"
ExxonMobil,3,"energy, emissions, solutions, exxonmobil, iea, lower, progress, carbon, climate, gas"
ExxonMobil,4,"emissions, exxonmobil, gas, methane, carbon, solutions, energy, emission, climate, data"
ExxonMobil,5,"millions, engagement, incident, win, longer, line, outcome, deployment, continuous, flexibility"
ExxonMobil,6,"exxonmobil, performance, energy, emissions, gas, operations, company, safety, local, data"
Glencore,0,"water, performance, responsible, management, climate, safety, emissions, change, glencore, rights"
Glencore,1,"industrial, water, management, assets, performance, health, information, safety, material, closure"
Glencore,2,"recycled, aligns, finalised, noise, reductions, impacted, capture, category, ventures, considered"
Glencore,3,"water, glencore, management, approach, emissions, risk, material, climate, related, million"
Glencore,4,"group, assets, glencore, local, management, business, people, safety, operations, rights"
Glencore,5,"recycled, aligns, finalised, noise, reductions, impacted, capture, category, ventures, considered"
Glencore,6,"recycled, aligns, finalised, noise, reductions, impacted, capture, category, ventures, considered"
Repsol,0,"repsol, million, performance, gas, production, financial, company, energy, group, oil"
Repsol,1,"goal, reduced, infrastructure, finished, perpetual, australia, originally, write, angola, consumers"
Repsol,2,"repsol, production, gas, net, million, exploration, company, management, oil, development"
Repsol,3,"goal, reduced, infrastructure, finished, perpetual, australia, originally, write, angola, consumers"
Repsol,4,"goal, reduced, infrastructure, finished, perpetual, australia, originally, write, angola, consumers"
Repsol,5,"euros, repsol, gas, net, new, production, million, upstream, oil, share"
Repsol,6,"goal, reduced, infrastructure, finished, perpetual, australia, originally, write, angola, consumers"
RioTinto,0,"billion, underlying, cash, year, net, performance, ore, earnings, strategic, capital"
RioTinto,1,"strategic, executive, company, covid, pandemic, communities, billion, tinto, rio, including"
RioTinto,2,"business, water, development, operations, sustainable, work, communities, safety, people, management"
RioTinto,3,"tinto, rio, development, riotinto, health, sustainable, communities, local, emissions, business"
RioTinto,4,"property, reflecting, profit, chairman, credentials, incident, flow, sheet, announced, excel"
RioTinto,5,"people, new, strategy, term, business, world, information, best, development, performance"
RioTinto,6,"lithium, water, arcadium, allkem, livent, argentina, global, safety, employees, local"
Shell,0,"depth, burning, century, priority, resilience, rise, focuses, incentive, knowledge, occurred"
Shell,1,"depth, burning, century, priority, resilience, rise, focuses, incentive, knowledge, occurred"
Shell,2,"shell, emissions, energy, net, gas, powering, zero, nature, carbon, performance"
Shell,3,"depth, burning, century, priority, resilience, rise, focuses, incentive, knowledge, occurred"
Shell,4,"shell, energy, gas, oil, safety, carbon, emissions, water, natural, development"
Shell,5,"shell, safety, energy, business, gas, performance, emissions, society, oil, work"
Shell,6,"depth, burning, century, priority, resilience, rise, focuses, incentive, knowledge, occurred"
TotalEnergies,0,"refineries, training, hub, transforming, glossary, meaning, highlights, march, asset, iso"
TotalEnergies,1,"totalenergies, company, emissions, energy, gas, projects, production, net, carbon, zero"
TotalEnergies,2,"energy, gas, climate, strategy, oil, integrating, production, coal, scenario, emissions"
TotalEnergies,3,"refineries, training, hub, transforming, glossary, meaning, highlights, march, asset, iso"
TotalEnergies,4,"refineries, training, hub, transforming, glossary, meaning, highlights, march, asset, iso"
TotalEnergies,5,"total, carbon, energy, gas, emissions, climate, natural, oil, power, products"
TotalEnergies,6,"energy, totalenergies, emissions, gas, oil, carbon, lng, power, production, low"
Unilever,0,"fixed, nominating, appointment, month, arrangements, existing, paul, constant, april, appropriate"
Unilever,1,"unilever, people, business, growth, brands, million, products, world, year, billion"
Unilever,2,"unilever, committee, chairman, directors, business, boards, plc, shares, executive, risk"
Unilever,3,"fixed, nominating, appointment, month, arrangements, existing, paul, constant, april, appropriate"
Unilever,4,"growth, underlying, operating, profit, business, unilever, turnover, million, non, care"
Unilever,5,"year, growth, unilever, business, emissions, performance, brands, accounts, key, climate"
Unilever,6,"fixed, nominating, appointment, month, arrangements, existing, paul, constant, april, appropriate"
